# group: simulate
# user: ubuntu
# timestamp: 1498852112
# time: 2017-06-30 19:48:32
# solver_name: solver@simulate
# solver_executable: /home/ubuntu/Documents/source/callback-verification/benchtools_setup/scripts/simulate.sh
# solver_parameters: /home/s/Documents/source/callback-verification;/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.view.View/view_REGEX.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.os.CountdownTimer/countdowntimer.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.app.Fragment/Fragment.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.view.View/onClick_listener_setenabled.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.os.AsyncTask/AsyncTask.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.app.Activity/activity_lifestate.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.app.AlertDialog/DialogInterfaces_OnClickListener.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.widget.PopupMenu/PopupMenu.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.AlertDialog/dialog.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.Activity/activity_callbacks.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.Fragment/fragment_callbacks.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.widget.PopupMenu/popupmenu.spec
# basedir: /
# time_limit: 240
# mem_limit: 4000000
# tempdir: 
# num_cores: 1
/home/ubuntu/Documents/data/fdroid_manually_curated/apps/com.moonpi.swiftnotes/9/traces/manual1.trace.repaired result Ok time 91.06 steps ('21',) 
/home/ubuntu/Documents/data/fdroid_manually_curated/apps/com.moonpi.swiftnotes/9/traces/manual2.trace.repaired result Ok time 202.21 steps ('75',) 
/home/ubuntu/Documents/data/fdroid_manually_curated/apps/com.moonpi.swiftnotes/9/traces/manual3.trace.repaired result Ok time 130.96 steps ('37',) 
/home/ubuntu/Documents/data/fdroid_manually_curated/apps/com.uberspot.a2048/23/traces/manual1.trace.repaired result Ok time 87.59 steps ('15',) 
/home/ubuntu/Documents/data/fdroid_manually_curated/apps/com.uberspot.a2048/23/traces/manual2.trace.repaired result Ok time 85.26 steps ('10',) 
/home/ubuntu/Documents/data/fdroid_manually_curated/apps/com.uberspot.a2048/23/traces/manual3.trace.repaired result Ok time 86.55 steps ('10',) 
/home/ubuntu/Documents/data/fdroid_manually_curated/apps/name.boyle.chris.sgtpuzzles/115/traces/manual1.trace.repaired result Ok time 136.15 steps ('43',) 
/home/ubuntu/Documents/data/fdroid_manually_curated/apps/name.boyle.chris.sgtpuzzles/115/traces/manual2.trace.repaired result Ok time 143.07 steps ('34',) 
/home/ubuntu/Documents/data/fdroid_manually_curated/apps/name.boyle.chris.sgtpuzzles/115/traces/manual3.trace.repaired result Ok time 172.42 steps ('75',) 
/home/ubuntu/Documents/data/fdroid_manually_curated/apps/trikita.slide/4/traces/manual1.trace.repaired result Ok time 113.54 steps ('36',) 
/home/ubuntu/Documents/data/fdroid_manually_curated/apps/trikita.slide/4/traces/manual2.trace.repaired result Ok time 113.41 steps ('48',) 
/home/ubuntu/Documents/data/fdroid_manually_curated/apps/trikita.slide/4/traces/manual3.trace.repaired result Ok time 123.23 steps ('35',) 
/home/ubuntu/Documents/data/fdroid_manually_curated/output/com.moonpi.swiftnotes/9/apk/monkeyTraces/trace-com.moonpi.swiftnotes_9_2017-06-21_08:51:10.repaired result Ok time 84.58 steps ('14',) 
