# group: lifestate_va1
# user: ubuntu
# timestamp: 1542300509
# time: 2018-11-15 16:48:29
# solver_name: solver@lifestate_va1
# solver_executable: /home/ubuntu/Documents/source/callback-verification/benchtools_setup/results_tables/esop19_2/esop19_small/scripts/simulate.sh
# solver_parameters: /home/ubuntu/Documents/source/callback-verification;/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.app.Fragment/DialogFragment_lifecycle.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.view.View/view_REGEX.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.os.CountdownTimer/countdowntimer.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.app.Fragment/Fragment.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.view.View/onClick_listener_setenabled.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.os.AsyncTask/AsyncTask.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.app.Activity/activity_lifestate.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.AlertDialog/dialog.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.app.AlertDialog/DialogInterfaces_OnClickListener.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.widget.PopupMenu/popupmenu.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.widget.PopupMenu/PopupMenu.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.widget.Toolbar/toolbar.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.widget.Toolbar/onMenuItemClick.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.Activity/activity_callbacks.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.Fragment/fragment_callbacks.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.Activity/activity_aux.spec
# basedir: /
# time_limit: 36000
# mem_limit: 30000000
# tempdir: 
# num_cores: 3
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual1.trace.repaired result Ok time 472.65 steps ('223',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual10.trace.repaired result Ok time 250.71 steps ('263',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual2.trace.repaired result Ok time 173.92 steps ('79',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual3.trace.repaired result Ok time 468.45 steps ('411',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual4.trace.repaired result Ok time 996.58 steps ('384',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual5.trace.repaired result Ok time 252.86 steps ('357',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual6.trace.repaired result Ok time 3663.95 steps ('905',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual7.trace.repaired result Ok time 3352.54 steps ('789',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual8.trace.repaired result Ok time 588.95 steps ('242',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual9.trace.repaired result Ok time 175.93 steps ('102',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual15.trace.repaired result Ok time 1097.41 steps ('264',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual16.trace.repaired result Ok time 303.11 steps ('111',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual2.trace.repaired result Ok time 306.06 steps ('83',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual27.trace.repaired result Ok time 329.15 steps ('100',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual28.trace.repaired result Ok time 420.53 steps ('137',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual29.trace.repaired result Ok time 1548.29 steps ('317',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual3.trace.repaired result Ok time 184.71 steps ('37',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual4.trace.repaired result Ok time 172.08 steps ('20',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual5.trace.repaired result Ok time 167.36 steps ('26',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual6.trace.repaired result Ok time 630.34 steps ('174',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual1.trace.repaired result Ok time 174.11 steps ('15',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual13.trace.repaired result Ok time 167.07 steps ('8',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual14.trace.repaired result Ok time 165.72 steps ('8',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual2.trace.repaired result Ok time 167.35 steps ('10',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual3.trace.repaired result Ok time 168.27 steps ('10',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual30.trace.repaired result Ok time 165.19 steps ('8',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual31.trace.repaired result Ok time 187.83 steps ('11',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual32.trace.repaired result Ok time 196.89 steps ('8',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual7.trace.repaired result Ok time 165.44 steps ('8',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual8.trace.repaired result Ok time 177.3 steps ('8',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual1.trace.repaired result Ok time 215.64 steps ('43',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual11.trace.repaired result Ok time 234.11 steps ('53',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual12.trace.repaired result Ok time 238.33 steps ('81',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual19.trace.repaired result Ok time 270.24 steps ('97',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual2.trace.repaired result Ok time 221.58 steps ('34',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual20.trace.repaired result Ok time 241.19 steps ('52',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual21.trace.repaired result Ok time 270.42 steps ('91',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual22.trace.repaired result Ok time 259.14 steps ('76',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual23.trace.repaired result Ok time 245.99 steps ('55',) 
/home/ubuntu/Documents/data/apps_man_corp/name.boyle.chris.sgtpuzzles/115/traces/manual3.trace.repaired result Ok time 232.5 steps ('75',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual1.trace.repaired result Ok time 192.48 steps ('38',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual10.trace.repaired result Ok time 430.7 steps ('160',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual17.trace.repaired result Ok time 487.93 steps ('137',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual18.trace.repaired result Ok time 400.56 steps ('116',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual2.trace.repaired result Ok time 217.8 steps ('50',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual24.trace.repaired result Ok time 390.86 steps ('80',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual25.trace.repaired result Ok time 384.55 steps ('124',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual26.trace.repaired result Ok time 409.58 steps ('61',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual3.trace.repaired result Ok time 191.02 steps ('36',) 
/home/ubuntu/Documents/data/apps_man_corp/trikita.slide/4/traces/manual9.trace.repaired result Ok time 441.79 steps ('249',) 
