# group: baseline
# user: ubuntu
# timestamp: 1531006107
# time: 2018-07-07 23:28:27
# solver_name: solver@baseline
# solver_executable: /home/ubuntu/Documents/source/callback-verification/benchtools_setup/results_tables/popl/small_corpus/simulation/scripts/simulate.sh
# solver_parameters: /home/s/Documents/source/callback-verification;/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.os.CountdownTimer/countdowntimer_baseline.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.app.Activity/activity_lifecycle.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.AlertDialog/dialog.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.app.AlertDialog/DialogInterfaces_OnClickListener_baseline.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.app.Fragment/Fragment_baseline.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.os.AsyncTask/AsyncTask_baseline.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.view.View/onClick_listener_setenabled_baseline.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.view.View/view_REGEX.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.widget.PopupMenu/PopupMenu.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.widget.PopupMenu/popupmenu.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.widget.Toolbar/onMenuItemClick.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.widget.Toolbar/toolbar.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.Activity/activity_callbacks.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.Fragment/fragment_callbacks.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.Activity/activity_aux.spec
# basedir: /
# time_limit: 14400
# mem_limit: 29000000
# tempdir: 
# num_cores: 4
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual1.trace.repaired result Ok time 546.0 steps ('220',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual10.trace.repaired result Ok time 132.35 steps ('261',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual2.trace.repaired result Ok time 62.68 steps ('77',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual3.trace.repaired result Ok time 445.02 steps ('409',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual4.trace.repaired result Ok time 1146.81 steps ('375',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual5.trace.repaired result Ok time 136.55 steps ('357',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual6.trace.repaired result Ok time 3983.99 steps ('902',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual7.trace.repaired result Ok time 3756.39 steps ('782',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual8.trace.repaired result Ok time 686.67 steps ('235',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual9.trace.repaired result Ok time 71.03 steps ('100',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual15.trace.repaired result Ok time 1107.04 steps ('243',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual16.trace.repaired result Ok time 230.8 steps ('102',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual2.trace.repaired result Ok time 243.91 steps ('80',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual27.trace.repaired result Ok time 277.05 steps ('94',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual28.trace.repaired result Ok time 413.2 steps ('131',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual29.trace.repaired result Ok time 1813.96 steps ('296',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual3.trace.repaired result Ok time 90.76 steps ('34',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual4.trace.repaired result Ok time 77.78 steps ('20',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual5.trace.repaired result Ok time 56.67 steps ('26',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual6.trace.repaired result Ok time 685.5 steps ('162',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual1.trace.repaired result Ok time 63.55 steps ('15',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual13.trace.repaired result Ok time 54.35 steps ('8',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual14.trace.repaired result Ok time 55.49 steps ('8',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual2.trace.repaired result Ok time 59.24 steps ('10',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual3.trace.repaired result Ok time 58.35 steps ('10',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual30.trace.repaired result Ok time 54.27 steps ('8',) 
/home/ubuntu/Documents/data/apps_man_corp/com.uberspot.a2048/23/traces/manual31.trace.repaired result Ok time 68.53 steps ('11',) 
