# group: lifecycle
# user: ubuntu
# timestamp: 1531006107
# time: 2018-07-07 23:28:27
# solver_name: solver@lifecycle
# solver_executable: /home/ubuntu/Documents/source/callback-verification/benchtools_setup/results_tables/popl/small_corpus/simulation/scripts/simulate.sh
# solver_parameters: /home/s/Documents/source/callback-verification;/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.app.Fragment/DialogFragment_lifecycle.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.app.Activity/activity_lifecycle.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/enabledisable/android.app.Fragment/Fragment_lifecycle.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.Activity/activity_callbacks.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.Fragment/fragment_callbacks.spec:/home/ubuntu/Documents/source/callback-verification/cbverifier/android_specs/subexpr/android.app.Activity/activity_aux.spec
# basedir: /
# time_limit: 14400
# mem_limit: 29000000
# tempdir: 
# num_cores: 4
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual1.trace.repaired result Ok time 93.9 steps ('158',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual10.trace.repaired result Ok time 96.0 steps ('209',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual2.trace.repaired result Ok time 56.42 steps ('63',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual3.trace.repaired result Ok time 134.13 steps ('373',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual4.trace.repaired result Ok time 173.51 steps ('267',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual5.trace.repaired result Ok time 92.64 steps ('263',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual6.trace.repaired result Ok time 666.37 steps ('813',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual7.trace.repaired result Ok time 705.72 steps ('647',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual8.trace.repaired result Ok time 102.71 steps ('136',) 
/home/ubuntu/Documents/data/apps_man_corp/com.danielkim.soundrecorder/8/traces/manual9.trace.repaired result Ok time 60.17 steps ('73',) 
/home/ubuntu/Documents/data/apps_man_corp/com.moonpi.swiftnotes/9/traces/manual15.trace.repaired result Ok time 129.78 steps ('132',) 
